星视界,#genre#
第一财经,https://sxj.btjson.us.kg/histar.php?id=yicai
辽宁体育,https://sxj.btjson.us.kg/histar.php?id=lnty
天津体育,https://sxj.btjson.us.kg/histar.php?id=tjty
广东珠江,https://sxj.btjson.us.kg/histar.php?id=gdzj
河南梨园,https://sxj.btjson.us.kg/histar.php?id=hnly
辽宁都市,https://sxj.btjson.us.kg/histar.php?id=lnds
辽宁影视,https://sxj.btjson.us.kg/histar.php?id=lnys
黑龙江都市,https://sxj.btjson.us.kg/histar.php?id=hljds
广州综合,https://sxj.btjson.us.kg/histar.php?id=gzzh
广州影视,https://sxj.btjson.us.kg/histar.php?id=gzys
广州竞赛,https://sxj.btjson.us.kg/histar.php?id=gzjs
广东影视,https://sxj.btjson.us.kg/histar.php?id=gdys
广东新闻,https://sxj.btjson.us.kg/histar.php?id=gdxw
广东民生,https://sxj.btjson.us.kg/histar.php?id=gdms
广东少儿,https://sxj.btjson.us.kg/histar.php?id=gdse

迪士尼频道,https://sxj.btjson.us.kg/histar.php?id=disney
Animax 卡通,https://sxj.btjson.us.kg/histar.php?id=animax-cartoon
DreamWorks 梦工厂动画,https://sxj.btjson.us.kg/histar.php?id=dreamworks
小尼克频道,https://sxj.btjson.us.kg/histar.php?id=nick-jr
尼克儿童频道,https://sxj.btjson.us.kg/histar.php?id=nickelodeon
MOMO 亲子台,https://sxj.btjson.us.kg/histar.php?id=momo-kids
东森幼幼台,https://sxj.btjson.us.kg/histar.php?id=ebc-yoyo
CN卡通,https://sxj.btjson.us.kg/histar.php?id=cn-cartoon
靖天卡通台,https://sxj.btjson.us.kg/histar.php?id=jtkt
靖天育乐台,https://sxj.btjson.us.kg/histar.php?id=jtyl
i-Fun 动漫台,https://sxj.btjson.us.kg/histar.php?id=i-fun
ELTV生活英語台,https://sxj.btjson.us.kg/histar.php?id=eltv
Boomerang HD,https://sxj.btjson.us.kg/histar.php?id=boomerang-hd
靖洋卡通 NiceBingo,https://sxj.btjson.us.kg/histar.php?id=nice-bingo
达文西频道,https://sxj.btjson.us.kg/histar.php?id=da-vinci

探索频道,https://sxj.btjson.us.kg/histar.php?id=discovery
探索科学频道,https://sxj.btjson.us.kg/histar.php?id=discovery-sci
探索亚洲频道,https://sxj.btjson.us.kg/histar.php?id=discovery-asia
DMAX,https://sxj.btjson.us.kg/histar.php?id=dmax
History 频道,https://sxj.btjson.us.kg/histar.php?id=history
History-2 频道,https://sxj.btjson.us.kg/histar.php?id=history-2
Love Nature,https://sxj.btjson.us.kg/histar.php?id=love-nature
国家地理 野生频道,https://sxj.btjson.us.kg/histar.php?id=natgeo-wild
民视旅游,https://sxj.btjson.us.kg/histar.php?id=ftv-travel
美食星球频道,https://sxj.btjson.us.kg/histar.php?id=food-planet
EYE 旅游台,https://sxj.btjson.us.kg/histar.php?id=eye-travel
ELTA 生活旅游台,https://sxj.btjson.us.kg/histar.php?id=elta-lifetravel
车迷TV,https://sxj.btjson.us.kg/histar.php?id=motorvision
动物星球频道,https://sxj.btjson.us.kg/histar.php?id=animal-planet
TLC 旅游生活頻道,https://sxj.btjson.us.kg/histar.php?id=tlc
亚洲旅游台,https://sxj.btjson.us.kg/histar.php?id=asia-travel
Asian Food Network,https://sxj.btjson.us.kg/histar.php?id=asian-food-network
CI 罪案侦查频道,https://sxj.btjson.us.kg/histar.php?id=ci
滚动力 rollor,https://sxj.btjson.us.kg/histar.php?id=rollor
LUXE TV Channel,https://sxj.btjson.us.kg/histar.php?id=luxe-tv

NHK General,https://sxj.btjson.us.kg/histar.php?id=nhk-g
NHK Education,https://sxj.btjson.us.kg/histar.php?id=nhk-e
日本电视台,https://sxj.btjson.us.kg/histar.php?id=nippon-tv
TBS TV,https://sxj.btjson.us.kg/histar.php?id=tbs-tv
富士电视台,https://sxj.btjson.us.kg/histar.php?id=fujitv
朝日电视台,https://sxj.btjson.us.kg/histar.php?id=tv-asahi
东京电视台,https://sxj.btjson.us.kg/histar.php?id=tv-tokyo
JSPORTS 1,https://sxj.btjson.us.kg/histar.php?id=jsports1
JSPORTS 2,https://sxj.btjson.us.kg/histar.php?id=jsports2
JSPORTS 3,https://sxj.btjson.us.kg/histar.php?id=jsports3
JSPORTS 4,https://sxj.btjson.us.kg/histar.php?id=jsports4
KBS 1,https://sxj.btjson.us.kg/histar.php?id=kbs-1
KBS 2,https://sxj.btjson.us.kg/histar.php?id=kbs-2
KBS Drama,https://sxj.btjson.us.kg/histar.php?id=kbs-drama
KBS Story,https://sxj.btjson.us.kg/histar.php?id=kbs-story
KBS Life,https://sxj.btjson.us.kg/histar.php?id=kbs-life
KBS Joy,https://sxj.btjson.us.kg/histar.php?id=kbs-joy
KBS Kids,https://sxj.btjson.us.kg/histar.php?id=kbs-kids
KBSWorld,https://sxj.btjson.us.kg/histar.php?id=kbsworld
KBS NEWS,https://sxj.btjson.us.kg/histar.php?id=kbs-news
SBS,https://sxj.btjson.us.kg/histar.php?id=sbs
SBS Plus,https://sxj.btjson.us.kg/histar.php?id=sbs-plus
SBS funE,https://sxj.btjson.us.kg/histar.php?id=sbs-fune
SBS M,https://sxj.btjson.us.kg/histar.php?id=sbs-m
