星视界,#genre#
中视,https://sxj.btjson.us.kg/histar.php?id=ctv
中视菁采台,https://sxj.btjson.us.kg/histar.php?id=bravo
中天亚洲,https://sxj.btjson.us.kg/histar.php?id=cti-asia
中天综合,https://sxj.btjson.us.kg/histar.php?id=ctitv36
华视,https://sxj.btjson.us.kg/histar.php?id=cts
LiveABC 互动英语频道,https://sxj.btjson.us.kg/histar.php?id=liveabc
好消息,https://sxj.btjson.us.kg/histar.php?id=goodtv
KLT-靖天国际台,https://sxj.btjson.us.kg/histar.php?id=jtgj
ELTA综合台,https://sxj.btjson.us.kg/histar.php?id=elta-zonghe
公视,https://sxj.btjson.us.kg/histar.php?id=pts
公视3台,https://sxj.btjson.us.kg/histar.php?id=pts-3
公视台语台,https://sxj.btjson.us.kg/histar.php?id=pts-ty
靖天综合台,https://sxj.btjson.us.kg/histar.php?id=jtzh
靖天日本台,https://sxj.btjson.us.kg/histar.php?id=jtrb
客家电视台,https://sxj.btjson.us.kg/histar.php?id=hakkatv
大爱一台,https://sxj.btjson.us.kg/histar.php?id=daai1
大爱二台,https://sxj.btjson.us.kg/histar.php?id=daai2
ARIRANG 阿里郎频道,https://sxj.btjson.us.kg/histar.php?id=arirang

中天新闻,https://sxj.btjson.us.kg/histar.php?id=cti-news
TVBS 新闻台,https://sxj.btjson.us.kg/histar.php?id=tvbs-news
TVBS HD,https://sxj.btjson.us.kg/histar.php?id=tvbs-hd
东森新闻,https://sxj.btjson.us.kg/histar.php?id=ebc-news
东森财经新闻,https://sxj.btjson.us.kg/histar.php?id=ebc-finance
寰宇新闻台,https://sxj.btjson.us.kg/histar.php?id=global-news
寰宇财经台,https://sxj.btjson.us.kg/histar.php?id=global-finance
寰宇新闻台湾台,https://sxj.btjson.us.kg/histar.php?id=global-news-tw
壹新闻 HD,https://sxj.btjson.us.kg/histar.php?id=nexttv
三立新闻,https://sxj.btjson.us.kg/histar.php?id=settv-news
三立iNews,https://sxj.btjson.us.kg/histar.php?id=settv-inews
中视新闻,https://sxj.btjson.us.kg/histar.php?id=ctv-news
非凡新闻,https://sxj.btjson.us.kg/histar.php?id=unique-business-news
年代新闻,https://sxj.btjson.us.kg/histar.php?id=era-news
民视新闻台,https://sxj.btjson.us.kg/histar.php?id=ftv-news
台视新闻,https://sxj.btjson.us.kg/histar.php?id=ttv-news
镜电视新闻台,https://sxj.btjson.us.kg/histar.php?id=mnews
华视新闻,https://sxj.btjson.us.kg/histar.php?id=cts-news
半岛国际新闻台,https://sxj.btjson.us.kg/histar.php?id=aljazeera
SBN 全球财经台,https://sxj.btjson.us.kg/histar.php?id=sbn
靖天资讯台,https://sxj.btjson.us.kg/histar.php?id=jtzx

纬来电影台,https://sxj.btjson.us.kg/histar.php?id=videoland-movie
纬来戏剧,https://sxj.btjson.us.kg/histar.php?id=videoland-drama
TVBS综艺台,https://sxj.btjson.us.kg/histar.php?id=tvbs-zongyi
TVBS台剧台,https://sxj.btjson.us.kg/histar.php?id=tvbs-taiju
龙祥电影台,https://sxj.btjson.us.kg/histar.php?id=lstime
龙华电影台,https://sxj.btjson.us.kg/histar.php?id=ltv-movies
龙华戏剧台,https://sxj.btjson.us.kg/histar.php?id=ltv-xiju
龙华日韩台,https://sxj.btjson.us.kg/histar.php?id=ltv-rihan
东森电影,https://sxj.btjson.us.kg/histar.php?id=ebc-movie
东森戏剧,https://sxj.btjson.us.kg/histar.php?id=ebc-drama
东森洋片,https://sxj.btjson.us.kg/histar.php?id=ebc-emovie
八大精彩台,https://sxj.btjson.us.kg/histar.php?id=gtv-jct
八大戏剧,https://sxj.btjson.us.kg/histar.php?id=gtv-41
八大娱乐,https://sxj.btjson.us.kg/histar.php?id=gtv-86
八大综艺,https://sxj.btjson.us.kg/histar.php?id=grt
采昌影剧台,https://sxj.btjson.us.kg/histar.php?id=caichang
美亚电影台,https://sxj.btjson.us.kg/histar.php?id=meiah-movies
猪哥亮歌厅秀,https://sxj.btjson.us.kg/histar.php?id=zglgtx
民视综艺,https://sxj.btjson.us.kg/histar.php?id=ftv-reality
民视影剧,https://sxj.btjson.us.kg/histar.php?id=ftv-drama
三立都会台,https://sxj.btjson.us.kg/histar.php?id=settv-city
三立戏剧台,https://sxj.btjson.us.kg/histar.php?id=settv-drama
中视经典台,https://sxj.btjson.us.kg/histar.php?id=ctv-classic
中天娱乐,https://sxj.btjson.us.kg/histar.php?id=cti-yule
靖洋戏剧台,https://sxj.btjson.us.kg/histar.php?id=jyxj
靖天映画,https://sxj.btjson.us.kg/histar.php?id=jtyh
靖天电影台,https://sxj.btjson.us.kg/histar.php?id=jtdy
靖天戏剧台,https://sxj.btjson.us.kg/histar.php?id=jtxjt
韩国娱乐台 KMTV,https://sxj.btjson.us.kg/histar.php?id=kmtv
公视戏剧,https://sxj.btjson.us.kg/histar.php?id=gsxj
影迷数位纪实台,https://sxj.btjson.us.kg/histar.php?id=ymswjst
影迷数字电影台,https://sxj.btjson.us.kg/histar.php?id=fans-cinema
视纳华仁纪实频道,https://sxj.btjson.us.kg/histar.php?id=cnex
MTV Live HD 频道,https://sxj.btjson.us.kg/histar.php?id=mtv
ELTA 娱乐台,https://sxj.btjson.us.kg/histar.php?id=elta-ylt

Channel 5,https://sxj.btjson.us.kg/histar.php?id=channel-5
Channel 8,https://sxj.btjson.us.kg/histar.php?id=channel8
Channel U,https://sxj.btjson.us.kg/histar.php?id=channel-u
8TV,https://sxj.btjson.us.kg/histar.php?id=8tv
TV9,https://sxj.btjson.us.kg/histar.php?id=tv9
CM+,https://sxj.btjson.us.kg/histar.php?id=cm-plus
E乐,https://sxj.btjson.us.kg/histar.php?id=singtel-tv
TV1,https://sxj.btjson.us.kg/histar.php?id=tv1-my
TV2,https://sxj.btjson.us.kg/histar.php?id=tv2-my
TV3,https://sxj.btjson.us.kg/histar.php?id=tv3-my
ChannelNewsAsia,https://sxj.btjson.us.kg/histar.php?id=channelnewsasia
OKEY,https://sxj.btjson.us.kg/histar.php?id=okey
Magic,https://sxj.btjson.us.kg/histar.php?id=tvb-magic
tvN Movies,https://sxj.btjson.us.kg/histar.php?id=tvn-movies
AXN,https://sxj.btjson.us.kg/histar.php?id=axn
TV Alhijrah,https://sxj.btjson.us.kg/histar.php?id=tv-alhijrah
ColorsHindi,https://sxj.btjson.us.kg/histar.php?id=colorshindi
TVS,https://sxj.btjson.us.kg/histar.php?id=tvs
tvN,https://sxj.btjson.us.kg/histar.php?id=tvn
BeritaRTM,https://sxj.btjson.us.kg/histar.php?id=beritartm
SukanRTM,https://sxj.btjson.us.kg/histar.php?id=sukanrtm
HITSMovies,https://sxj.btjson.us.kg/histar.php?id=hitsmovies
ShowCase,https://sxj.btjson.us.kg/histar.php?id=showcase
BBCEarth,https://sxj.btjson.us.kg/histar.php?id=bbcearth
Mediacorp Suria,https://sxj.btjson.us.kg/histar.php?id=mediacorp-suria
Mediacorp Vasantham,https://sxj.btjson.us.kg/histar.php?id=mediacorp-vasantham
Gem,https://sxj.btjson.us.kg/histar.php?id=gem
GlobalTrekker,https://sxj.btjson.us.kg/histar.php?id=globaltrekker
DramaSangat,https://sxj.btjson.us.kg/histar.php?id=dramasangat
SunTV,https://sxj.btjson.us.kg/histar.php?id=suntv
SunMusic,https://sxj.btjson.us.kg/histar.php?id=sunmusic
SunNews,https://sxj.btjson.us.kg/histar.php?id=sunnews
AwesomeTV,https://sxj.btjson.us.kg/histar.php?id=awesometv
DidikTV7,https://sxj.btjson.us.kg/histar.php?id=didiktv7
Adithya,https://sxj.btjson.us.kg/histar.php?id=adithya
KTVHD,https://sxj.btjson.us.kg/histar.php?id=ktvhd
SunLife,https://sxj.btjson.us.kg/histar.php?id=sunlife
StarVijay,https://sxj.btjson.us.kg/histar.php?id=starvijay
ColorsTamil,https://sxj.btjson.us.kg/histar.php?id=colorstamil
ZeeTamil,https://sxj.btjson.us.kg/histar.php?id=zeetamil
ZeeCinemaHD,https://sxj.btjson.us.kg/histar.php?id=zeecinemahd
Boo,https://sxj.btjson.us.kg/histar.php?id=boo
MTVLive,https://sxj.btjson.us.kg/histar.php?id=mtvlive
Bernama,https://sxj.btjson.us.kg/histar.php?id=bernama
Moonbug,https://sxj.btjson.us.kg/histar.php?id=moonbug

Hub都会,https://sxj.btjson.us.kg/histar.php?id=HubECity
Hub娱家,https://sxj.btjson.us.kg/histar.php?id=HubVVDrama
HubSports 1,https://sxj.btjson.us.kg/histar.php?id=hubsports1
HubSports2,https://sxj.btjson.us.kg/histar.php?id=hubsports2
HubSports3,https://sxj.btjson.us.kg/histar.php?id=hubsports3
HubSport4,https://sxj.btjson.us.kg/histar.php?id=hubsports4
HubSports Plus,https://sxj.btjson.us.kg/histar.php?id=hubsports-plus
Hub Premier 1,https://sxj.btjson.us.kg/histar.php?id=hubpremier1
HubPremier2,https://sxj.btjson.us.kg/histar.php?id=hubpremier2
HubPremier3,https://sxj.btjson.us.kg/histar.php?id=hubpremier3
HubPremier 4,https://sxj.btjson.us.kg/histar.php?id=hubpremier4
HubPremier 5,https://sxj.btjson.us.kg/histar.php?id=hubpremier5
Hub Sensasi,https://sxj.btjson.us.kg/histar.php?id=hub-sensasi
tvn HD,https://sxj.btjson.us.kg/histar.php?id=tvnhd
AstroWarna Hub版,https://sxj.btjson.us.kg/histar.php?id=astro-warna-hub
ONEMalay,https://sxj.btjson.us.kg/histar.php?id=one-malay

Astro AEC,https://sxj.btjson.us.kg/histar.php?id=astro-aec
Astro 欢喜台,https://sxj.btjson.us.kg/histar.php?id=astro-huaheedai
Astro SuperSport,https://sxj.btjson.us.kg/histar.php?id=super-sports1
Astro SuperSport 2,https://sxj.btjson.us.kg/histar.php?id=super-sports2
Astro SuperSport 3,https://sxj.btjson.us.kg/histar.php?id=super-sports3
Astro SuperSport 4,https://sxj.btjson.us.kg/histar.php?id=super-sports4
Arena Bola,https://sxj.btjson.us.kg/histar.php?id=arena-bola
Arena Bola2,https://sxj.btjson.us.kg/histar.php?id=arena-bola2
Astro 爱奇艺,https://sxj.btjson.us.kg/histar.php?id=astro-iqiyi
Astro AOD 311 国语,https://sxj.btjson.us.kg/histar.php?id=astro-aod
Astro AOD 311 粤语,https://sxj.btjson.us.kg/histar.php?id=astro-aod-311-hk
Astro QJ,https://sxj.btjson.us.kg/histar.php?id=astro-quanjia
Astro Awani,https://sxj.btjson.us.kg/histar.php?id=astro-awani
Astro Arena HD,https://sxj.btjson.us.kg/histar.php?id=astro-arena-hd
Astro Arena 2,https://sxj.btjson.us.kg/histar.php?id=astro-arena2
Astro Citra,https://sxj.btjson.us.kg/histar.php?id=astro-citra
Astro Prima,https://sxj.btjson.us.kg/histar.php?id=astro-prima
Astro Aura,https://sxj.btjson.us.kg/histar.php?id=astro-aura
Astro RIA,https://sxj.btjson.us.kg/histar.php?id=astro-ria
Astro ONE,https://sxj.btjson.us.kg/histar.php?id=astro-one
AstroPremier,https://sxj.btjson.us.kg/histar.php?id=astropremier
Astro Ceria,https://sxj.btjson.us.kg/histar.php?id=astro-ceria
Astro Vaanavil,https://sxj.btjson.us.kg/histar.php?id=astro-vaanavil
Astro Vinmeen,https://sxj.btjson.us.kg/histar.php?id=astro-vinmeen
Astro Warna,https://sxj.btjson.us.kg/histar.php?id=astro-warna
Astro Vellithirai,https://sxj.btjson.us.kg/histar.php?id=astro-vellithirai
Astro Rania,https://sxj.btjson.us.kg/histar.php?id=astro-rania
Astro Oasis,https://sxj.btjson.us.kg/histar.php?id=astro-oasis
Astro TUTOR TV,https://sxj.btjson.us.kg/histar.php?id=astro-tutor-tv
Astro GolfChannel,https://sxj.btjson.us.kg/histar.php?id=astro-golfchannel

beIN Sports,https://sxj.btjson.us.kg/histar.php?id=beinsports
beIN Sports 2,https://sxj.btjson.us.kg/histar.php?id=beinsports2
beIN Sports 3,https://sxj.btjson.us.kg/histar.php?id=beinsports3
ELTA 体育-1,https://sxj.btjson.us.kg/histar.php?id=elta-sport1
ELTA 体育-2,https://sxj.btjson.us.kg/histar.php?id=elta-sport2
ELTA 体育-3,https://sxj.btjson.us.kg/histar.php?id=elta-sport3
ELTA体育4台,https://sxj.btjson.us.kg/histar.php?id=elta-sport4
博斯网球,https://sxj.btjson.us.kg/histar.php?id=sportcast-tennis
博斯运动-1,https://sxj.btjson.us.kg/histar.php?id=sportcast1
博斯运动-2,https://sxj.btjson.us.kg/histar.php?id=sportcast2
博斯无限,https://sxj.btjson.us.kg/histar.php?id=sportcast-wx
