綜合,#genre#
LiveABC 互動英語台,http://37.128.252.61:5000/4gtv/188

其他,#genre#
TVBS,http://37.128.252.61:5000/4gtv/183
History 歷史頻道,http://37.128.252.61:5000/4gtv/214
CI 罪案偵查頻道,http://37.128.252.61:5000/4gtv/215
Smart 知識台,http://37.128.252.61:5000/4gtv/litv-longturn19
視納華仁紀實頻道,http://37.128.252.61:5000/4gtv/38
原住民族電視台,http://37.128.252.61:5000/4gtv/273
客家電視台,http://37.128.252.61:5000/4gtv/107
滾動力 Rollor,http://37.128.252.61:5000/4gtv/249
好消息,http://37.128.252.61:5000/4gtv/9
好消息2台,http://37.128.252.61:5000/4gtv/8
大愛電視,http://37.128.252.61:5000/4gtv/209
大愛電視2,http://37.128.252.61:5000/4gtv/230
人間衛視,http://37.128.252.61:5000/4gtv/210
國會頻道1,http://37.128.252.61:5000/4gtv/170
國會頻道2,http://37.128.252.61:5000/4gtv/171
東森購物一台,http://37.128.252.61:5000/4gtv/173
東森購物二台,http://37.128.252.61:5000/4gtv/174
東森購物三台,http://37.128.252.61:5000/4gtv/287
東森購物四台,http://37.128.252.61:5000/4gtv/286

體育,#genre#
博斯運動一台,http://37.128.252.61:5000/4gtv/50
博斯運動二台,http://37.128.252.61:5000/4gtv/litv-longturn08
博斯無限台,http://37.128.252.61:5000/4gtv/51
博斯無限二台,http://37.128.252.61:5000/4gtv/litv-longturn13
博斯網球台,http://37.128.252.61:5000/4gtv/52
博斯高球台,http://37.128.252.61:5000/4gtv/48
博斯高球二台,http://37.128.252.61:5000/4gtv/litv-longturn06
博斯魅力台,http://37.128.252.61:5000/4gtv/litv-longturn04
GINX Esports TV,http://37.128.252.61:5000/4gtv/179
TechStorm,http://37.128.252.61:5000/4gtv/181
時尚運動X,http://37.128.252.61:5000/4gtv/277
智林體育台,http://37.128.252.61:5000/4gtv/58
TraceSports,http://37.128.252.61:5000/4gtv/57 
